ID            CEU     YRI
NWD720391   0.022   0.978
NWD431959  0.3156  0.6844
NWD584394  0.0023  0.9977
NWD344310  0.1454  0.8546
NWD517673  0.0025  0.9975
NWD527323  0.4819  0.5181
NWD418773  0.0899  0.9101
NWD857221  0.0933  0.9067
NWD836765     0.0     1.0
NWD396724  0.0623  0.9377
NWD125656  0.0682  0.9318
NWD912070  0.1811  0.8189
NWD597815  0.0884  0.9116
NWD512818  0.2342  0.7658

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.0615  0.9385
NWD838454  0.0069  0.9931
NWD447217  0.1759  0.8241
NWD506902  0.6423  0.3577
NWD516805  0.0389  0.9611
NWD598769   0.029   0.971
NWD276731  0.1566  0.8434
NWD857305   0.196   0.804
NWD573145   0.008   0.992
NWD378807  0.1601  0.8399
NWD773408  0.4403  0.5597
NWD862131  0.4837  0.5163
NWD696182  0.1887  0.8113
NWD601219  0.2494  0.7506
NWD445484  0.4859  0.5141
NWD245122  0.0935  0.9065
NWD574025  0.2066  0.7934
NWD962792  0.2322  0.7678
NWD140824   0.259   0.741
NWD347140  0.7218  0.2782
NWD388542  0.3719  0.6281
NWD409874  0.1087  0.8913
NWD641240  0.1284  0.8716
NWD620567  0.4008  0.5992
NWD754070  0.0167  0.9833
NWD338378  0.0175  0.9825
NWD660071  0.0726  0.9274
NWD452926  0.2691  0.7309
NWD233967  0.9532  0.0468
NWD878543  0.2287  0.7713
...           ...     ...
NWD907433  0.0489  0.9511
NWD712032    0.28    0.72
NWD677776  0.0922  0.9078
NWD599306     0.0     1.0
NWD684484     0.0     1.0
NWD826684  0.1209  0.8791
NWD428381  0.4915  0.5085
NWD174966  0.4641  0.5359
NWD938526  0.3636  0.6364
NWD328083  0.2246  0.7754
NWD318497   0.155   0.845
NWD731252  0.0175  0.9825
NWD412116  0.4685  0.5315
NWD640560  0.1564  0.8436
NWD639242  0.2094  0.7906
NWD599371  0.0443  0.9557
NWD720391  0.1112  0.8888
NWD431959  0.5054  0.4946
NWD584394     0.0     1.0
NWD344310  0.0238  0.9762
NWD517673  0.1389  0.8611
NWD527323  0.1851  0.8149
NWD418773  0.0937  0.9063
NWD857221  0.1172  0.8828
NWD836765     0.0     1.0
NWD396724  0.0058  0.9942
NWD125656  0.0866  0.9134
NWD912070  0.0274  0.9726
NWD597815   0.111   0.889
NWD512818  0.2313  0.7687

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.0654  0.9346
NWD838454   0.063   0.937
NWD447217     0.0     1.0
NWD506902   0.336   0.664
NWD516805  0.0205  0.9795
NWD598769  0.1171  0.8829
NWD276731  0.2252  0.7748
NWD857305  0.0105  0.9895
NWD573145  0.0377  0.9623
NWD378807  0.2958  0.7042
NWD773408   0.086   0.914
NWD862131  0.5106  0.4894
NWD696182  0.0391  0.9609
NWD601219  0.3034  0.6966
NWD445484  0.0258  0.9742
NWD245122     0.0     1.0
NWD574025  0.0297  0.9703
NWD962792  0.1612  0.8388
NWD140824  0.4142  0.5858
NWD347140  0.5513  0.4487
NWD388542   0.325   0.675
NWD409874  0.2143  0.7857
NWD641240  0.1604  0.8396
NWD620567  0.3977  0.6023
NWD754070  0.0135  0.9865
NWD338378  0.0734  0.9266
NWD660071  0.2774  0.7226
NWD452926     0.0     1.0
NWD233967  0.4194  0.5806
NWD878543  0.3882  0.6118
...           ...     ...
NWD907433     0.0     1.0
NWD712032  0.1652  0.8348
NWD677776  0.2832  0.7168
NWD599306  0.0577  0.9423
NWD684484  0.0079  0.9921
NWD826684  0.0615  0.9385
NWD428381  0.3734  0.6266
NWD174966     0.0     1.0
NWD938526  0.0933  0.9067
NWD328083  0.1038  0.8962
NWD318497  0.4192  0.5808
NWD731252  0.0407  0.9593
NWD412116  0.3231  0.6769
NWD640560  0.5545  0.4455
NWD639242  0.4044  0.5956
NWD599371  0.1824  0.8176
NWD720391  0.1233  0.8767
NWD431959  0.1568  0.8432
NWD584394     0.0     1.0
NWD344310     0.0     1.0
NWD517673  0.0802  0.9198
NWD527323  0.1751  0.8249
NWD418773  0.0485  0.9515
NWD857221  0.0679  0.9321
NWD836765     0.0     1.0
NWD396724     0.0     1.0
NWD125656  0.1364  0.8636
NWD912070  0.1628  0.8372
NWD597815  0.0958  0.9042
NWD512818  0.0282  0.9718

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.0031  0.9969
NWD838454   0.004   0.996
NWD447217  0.1399  0.8601
NWD506902  0.5636  0.4364
NWD516805   0.005   0.995
NWD598769  0.0568  0.9432
NWD276731  0.1852  0.8148
NWD857305   0.244   0.756
NWD573145  0.3634  0.6366
NWD378807  0.0085  0.9915
NWD773408  0.1333  0.8667
NWD862131  0.3707  0.6293
NWD696182  0.0965  0.9035
NWD601219  0.1942  0.8058
NWD445484  0.3807  0.6193
NWD245122  0.1133  0.8867
NWD574025  0.1066  0.8934
NWD962792  0.1603  0.8397
NWD140824   0.211   0.789
NWD347140  0.5646  0.4354
NWD388542   0.383   0.617
NWD409874  0.0234  0.9766
NWD641240  0.4839  0.5161
NWD620567  0.3343  0.6657
NWD754070  0.0134  0.9866
NWD338378  0.1016  0.8984
NWD660071  0.3294  0.6706
NWD452926  0.1821  0.8179
NWD233967  0.3102  0.6898
NWD878543  0.3559  0.6441
...           ...     ...
NWD907433  0.1943  0.8057
NWD712032  0.1143  0.8857
NWD677776  0.5244  0.4756
NWD599306  0.2333  0.7667
NWD684484     0.0     1.0
NWD826684  0.0507  0.9493
